,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,age_range
25,2,0,1,1,3,5,0,0,2,2,1,0,1,4,2,1,1,2,1,2,1,0,2
27,0,0,1,1,2,4,1,1,2,2,0,0,0,0,1,1,2,2,0,0,2,0,2
28,2,0,0,1,3,2,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,2
29,2,0,0,0,3,4,0,1,1,0,1,1,0,3,2,0,1,0,1,0,1,0,2
30,2,0,0,0,0,4,1,1,1,0,1,1,0,0,2,2,1,1,1,0,1,0,2
31,2,1,1,0,2,0,1,1,1,2,1,1,0,1,2,1,0,0,1,1,1,1,2
32,2,0,1,1,3,3,1,1,0,0,1,1,2,2,0,1,1,2,1,2,0,0,1
33,2,0,1,1,3,2,1,1,2,2,2,2,2,4,0,1,1,1,0,2,0,0,3
34,0,0,0,1,3,0,0,1,2,2,1,1,0,0,0,1,1,0,1,0,2,0,2
35,2,0,0,1,2,4,0,1,1,2,1,1,0,4,1,1,2,2,0,0,0,0,1
36,2,0,0,0,2,0,0,1,1,0,1,1,0,4,2,0,1,0,1,1,0,0,1
39,2,0,0,1,2,5,1,1,2,2,1,2,2,4,1,1,2,2,0,0,2,0,2
40,2,0,0,1,3,4,0,1,1,0,1,1,0,0,0,0,1,0,1,2,1,1,1
42,2,0,1,1,3,0,0,1,1,2,1,1,2,3,0,1,1,0,1,1,2,0,1
43,2,0,0,0,1,4,0,1,1,1,1,1,0,1,2,0,0,1,1,1,1,0,0
44,2,0,0,1,3,2,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
45,0,0,1,1,3,2,0,1,2,2,1,2,2,2,1,1,1,2,1,1,2,0,2
48,2,1,0,0,3,0,0,1,1,2,2,1,0,0,1,1,2,2,1,1,2,0,1
49,2,0,1,1,2,2,0,1,2,0,1,0,0,0,0,1,1,2,1,1,0,0,1
50,2,0,1,1,1,4,0,1,1,2,1,1,2,3,0,1,0,0,1,0,0,0,1
53,2,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,2,1,1,0,0,2
55,1,0,1,1,2,2,0,1,2,2,1,1,2,0,0,1,0,0,1,1,0,0,1
57,2,0,1,1,3,2,1,1,0,0,1,1,0,0,1,0,1,2,2,2,1,0,1
59,2,0,1,1,1,4,1,1,0,0,1,1,1,1,2,1,0,0,1,0,0,0,2
60,2,0,1,1,3,5,0,0,2,0,1,0,0,0,2,0,1,0,1,0,0,1,3
61,0,0,0,1,3,2,1,1,0,1,2,2,2,4,1,1,2,2,0,2,2,0,1
62,2,0,0,0,0,1,0,1,2,1,1,2,0,2,1,1,2,2,0,0,2,0,1
64,2,0,0,0,3,4,0,1,0,0,1,1,0,2,1,1,1,2,1,0,0,0,2
65,2,0,1,0,3,5,1,1,2,2,2,2,0,0,2,0,1,0,1,1,1,1,2
66,0,0,1,1,1,0,1,1,1,1,1,1,0,4,1,1,1,2,1,0,2,0,1
67,2,0,0,0,3,1,1,1,2,0,0,2,0,0,0,1,1,1,0,2,2,0,2
69,2,1,0,0,2,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,2
70,2,0,0,0,0,2,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1
71,2,0,0,0,0,4,0,1,0,1,0,0,0,2,1,1,1,2,1,1,0,0,2
72,3,0,0,0,2,5,0,1,2,2,1,1,2,1,0,1,2,2,1,1,1,0,1
74,2,0,0,0,0,5,0,1,0,1,2,0,0,0,0,1,1,1,1,0,2,0,2
77,2,1,1,0,3,0,1,1,1,0,1,1,2,1,1,1,2,2,0,0,2,0,2
78,2,0,1,1,3,2,1,1,1,0,1,1,0,1,2,1,1,0,1,2,1,0,2
79,2,0,0,0,0,4,1,1,0,0,0,0,0,4,1,1,1,1,0,2,2,0,1
80,2,0,1,0,3,1,1,1,2,2,1,2,0,0,1,1,2,1,0,0,2,0,2
81,2,0,0,0,0,2,0,1,2,1,2,0,0,4,1,1,1,2,0,0,2,0,1
82,2,0,0,0,0,2,0,0,1,0,1,1,0,0,1,1,1,2,1,1,1,0,1
83,0,1,0,1,1,0,1,1,2,2,2,2,2,4,0,0,1,2,1,0,2,0,1
84,2,0,1,0,0,5,0,1,1,0,1,1,0,0,2,1,0,0,1,0,1,0,2
86,2,1,0,1,1,4,0,1,1,0,1,1,0,3,0,1,1,0,1,0,1,1,2
87,0,0,1,1,2,3,1,1,2,1,1,0,0,0,2,0,1,1,1,1,0,0,2
88,0,0,0,1,3,2,0,1,2,2,1,1,0,0,0,1,1,1,1,0,1,1,1
90,2,0,0,0,0,3,0,1,2,2,2,2,2,2,1,1,1,2,1,1,2,0,2
91,2,0,0,1,3,2,0,1,1,2,1,1,2,3,1,1,2,2,2,2,1,0,2
94,0,0,0,1,3,2,0,1,2,2,1,0,0,0,0,1,1,2,1,0,0,0,1
95,2,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,2,2,0,0,1,0,1
96,2,0,1,0,2,2,0,1,0,1,1,0,0,2,0,0,1,0,1,0,0,0,1
97,2,0,1,1,3,4,0,1,0,0,1,1,0,0,1,1,1,2,0,2,1,0,2
98,2,0,0,1,3,4,0,1,1,2,1,1,0,2,0,1,1,0,1,0,1,0,2
99,2,0,0,1,1,0,0,1,1,2,1,1,2,2,1,1,2,2,0,0,2,0,1
100,0,0,1,1,3,2,0,0,1,2,1,1,1,3,2,1,0,0,1,0,1,1,1
101,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,3
103,2,0,1,1,3,2,1,1,2,2,2,2,2,2,1,1,1,2,0,0,2,0,2
104,2,0,0,0,0,5,0,1,2,1,2,0,0,2,1,1,1,2,1,1,0,0,1
105,2,0,1,0,2,4,0,1,2,1,1,1,2,2,1,1,1,2,1,1,0,0,2
106,2,0,1,1,3,2,1,1,0,1,1,1,0,2,1,1,1,2,1,0,1,0,2
107,2,0,1,1,2,4,0,1,1,0,1,1,1,0,0,1,2,2,1,1,0,1,1
108,2,0,1,0,0,4,1,1,2,0,1,1,0,0,0,1,0,0,1,1,0,0,2
109,2,0,0,1,3,2,0,1,2,0,2,2,2,1,0,1,1,2,1,0,2,0,2
110,2,0,0,1,3,3,0,1,2,2,1,0,2,0,2,1,0,0,1,2,1,0,1
111,2,0,0,1,3,2,0,1,2,2,2,2,2,2,1,1,1,1,1,0,2,0,1
112,2,0,1,1,2,4,1,1,2,2,1,2,2,4,1,1,2,2,2,2,2,0,3
113,2,0,0,0,0,1,0,1,2,2,1,0,0,0,0,1,1,1,1,1,0,0,2
115,2,0,0,0,0,4,0,1,0,0,1,0,0,4,1,1,1,1,1,1,0,1,1
116,2,1,0,0,1,0,1,0,1,2,1,1,2,3,2,1,1,2,1,0,1,0,1
117,2,0,0,0,2,4,0,0,2,2,2,2,2,4,0,1,1,2,1,1,0,0,1
118,2,0,0,1,2,0,1,1,1,0,1,1,2,4,1,1,1,0,1,1,0,0,0
120,2,0,0,0,0,5,0,1,2,2,1,2,0,0,2,2,0,0,1,1,0,0,1
122,2,0,1,1,3,4,1,1,0,0,0,0,2,4,1,1,2,2,1,0,2,0,2
123,2,0,0,0,1,4,0,1,2,0,1,1,2,0,0,1,0,0,1,1,0,0,2
124,2,0,0,1,0,1,0,0,2,1,1,1,0,3,0,1,1,2,1,0,1,1,1
125,2,0,1,0,0,3,0,1,2,0,2,2,2,0,2,1,1,0,1,2,0,0,1
127,2,0,0,1,2,1,0,1,2,2,1,2,2,0,2,1,0,2,1,1,0,0,2
128,2,0,1,0,3,4,0,1,1,0,1,1,0,2,0,0,0,0,1,1,2,0,2
129,2,0,0,1,3,4,0,1,0,0,1,1,0,2,2,2,1,0,1,1,0,0,0
130,2,0,1,1,3,5,0,1,2,2,1,1,0,4,0,1,2,1,1,2,1,0,2
131,2,0,0,0,2,0,1,1,1,2,1,1,0,3,0,1,2,1,1,2,0,0,2
132,2,0,0,0,0,2,0,1,0,1,0,0,0,0,1,1,2,2,0,0,0,0,1
134,2,0,0,1,0,2,0,1,0,0,1,1,0,0,1,1,1,2,0,2,0,0,1
135,2,0,0,0,0,2,0,0,1,0,1,1,0,0,2,0,0,0,1,1,0,0,2
136,2,0,0,0,0,4,0,1,0,0,1,1,2,4,1,1,1,2,0,0,2,0,1
137,2,0,0,1,1,5,0,1,2,1,1,1,0,2,1,1,2,2,1,1,0,0,2
140,2,0,1,1,3,1,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,2
141,2,1,0,1,3,5,0,0,1,2,2,2,2,3,2,2,1,0,1,0,2,0,2
142,2,0,0,0,0,2,1,0,0,1,0,0,0,0,2,1,1,0,1,0,0,0,2
145,2,0,1,1,2,1,0,0,2,2,2,2,0,2,0,0,1,2,0,0,0,0,2
146,2,0,0,0,0,4,0,1,1,0,1,1,2,0,0,0,0,1,1,1,0,0,1
147,2,0,0,0,3,4,0,0,1,0,1,1,1,2,2,2,0,0,1,1,1,0,1
148,2,0,0,1,2,1,0,1,1,2,2,2,0,2,2,1,1,0,1,1,1,1,1
151,2,0,1,0,0,2,0,1,0,1,1,1,0,4,1,1,1,1,1,0,1,0,2
152,2,0,0,0,2,4,1,1,1,0,1,1,0,0,1,1,2,2,0,2,2,0,1
153,2,0,0,0,0,4,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,2
154,2,0,1,1,2,5,0,0,2,2,2,2,2,1,2,0,1,0,1,2,1,1,2
155,2,0,1,1,3,2,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1
156,2,0,1,1,3,5,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1
157,2,0,0,0,1,2,0,0,0,1,1,1,0,0,2,0,1,2,1,0,1,0,1
158,2,0,0,1,2,2,1,1,1,2,1,1,0,1,0,1,1,2,1,1,0,1,1
159,2,0,1,1,3,2,0,1,0,1,1,1,0,4,0,1,1,0,1,1,0,1,1
160,2,0,0,1,3,5,0,0,2,2,2,2,2,2,0,0,1,1,1,0,0,1,2
161,0,0,1,1,3,3,0,1,2,0,1,1,0,0,2,2,1,1,1,1,0,0,1
162,2,0,0,0,0,5,0,1,2,0,1,2,0,0,1,1,1,1,1,1,0,0,2
163,2,0,1,0,2,4,0,1,0,0,1,1,0,0,0,1,1,2,1,1,0,0,1
164,0,1,1,1,3,0,0,1,1,2,2,2,2,3,1,1,1,2,1,2,2,0,2
166,2,0,0,0,0,2,0,1,1,0,1,1,0,4,0,1,1,1,1,0,0,0,2
168,2,1,1,0,3,0,0,1,1,0,1,1,0,3,2,1,0,0,1,0,1,0,1
169,2,0,0,0,2,1,0,1,0,1,2,0,0,4,0,0,1,1,1,0,0,0,1
170,2,0,0,1,3,5,0,1,2,2,0,0,2,2,1,1,2,2,1,1,0,0,1
171,2,1,0,1,1,4,0,1,0,0,1,1,0,0,0,1,1,2,1,0,0,0,2
172,2,0,0,1,0,5,0,1,0,1,1,1,0,3,2,0,0,0,0,0,1,0,1
174,0,0,1,1,3,5,0,0,2,2,2,1,0,2,1,1,1,2,1,1,1,0,2
175,2,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,2
177,0,0,0,1,1,4,1,1,2,1,0,0,2,4,1,1,2,2,1,1,2,1,2
178,0,0,0,1,3,0,0,1,2,0,1,1,2,1,1,1,2,2,1,1,2,0,3
180,2,0,0,0,0,4,1,1,1,0,1,1,1,0,0,0,0,2,0,2,1,0,1
181,0,1,0,0,3,4,0,0,1,0,1,1,0,2,0,0,1,1,1,1,0,0,1
182,0,0,0,0,0,2,0,1,0,0,1,0,2,2,1,1,2,2,0,0,0,0,1
183,2,0,0,1,3,5,0,1,0,1,0,0,0,0,2,2,1,1,1,1,0,0,3
184,2,0,1,1,1,5,1,1,2,1,1,0,0,3,2,0,0,0,1,1,1,0,3
186,2,0,0,0,3,4,0,1,0,0,1,0,0,2,0,1,1,2,0,2,2,0,1
189,0,0,1,1,0,5,0,1,2,1,0,1,2,2,0,1,0,0,1,1,0,0,2
190,0,1,1,1,1,0,1,1,1,2,1,1,2,2,0,0,1,1,1,0,0,1,2
191,2,0,1,1,3,2,0,1,2,0,1,1,0,2,0,0,1,0,1,0,1,0,1
192,2,0,0,0,3,2,0,1,1,0,1,1,0,0,2,0,0,0,1,0,0,0,1
193,2,0,0,1,2,4,0,1,1,0,1,1,2,0,1,1,1,2,1,1,0,0,2
194,0,0,0,0,3,1,0,1,1,0,1,1,0,3,2,2,1,0,1,1,1,1,2
195,2,1,1,0,0,4,0,1,1,0,1,1,0,2,0,0,1,1,1,0,0,0,2
196,0,0,0,0,0,3,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,2
197,2,0,0,0,2,5,0,1,2,0,1,1,2,2,1,1,1,2,1,0,1,0,1
199,2,0,1,1,3,5,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
200,0,0,1,1,3,2,0,1,2,0,1,1,0,4,1,1,1,1,1,1,2,0,1
201,0,0,0,1,3,3,0,0,2,2,2,2,2,2,0,1,1,2,1,1,2,0,2
202,2,0,0,1,1,4,1,1,1,1,1,1,0,3,0,0,1,1,0,0,0,0,3
203,2,0,0,0,3,0,0,1,1,2,1,1,0,3,2,1,0,0,1,2,0,0,2
205,2,0,1,1,3,1,1,1,0,1,1,1,0,1,2,0,0,0,1,1,1,1,2
206,2,0,0,1,3,4,1,1,1,2,1,1,0,1,1,1,1,1,0,0,2,0,1
207,2,0,0,1,1,2,0,1,1,2,1,1,2,2,0,1,2,2,1,0,0,0,1
208,2,0,0,0,0,2,0,1,0,1,1,0,0,0,1,1,1,2,1,1,0,0,1
211,2,0,1,0,3,2,0,0,1,0,1,1,0,0,2,0,1,2,1,0,0,0,2
212,2,1,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,1,0,0,0,1
213,0,0,1,1,3,4,0,1,0,0,1,1,1,0,2,0,1,1,1,0,1,1,2
214,0,0,0,1,3,1,0,0,2,2,0,0,2,4,1,1,2,2,1,2,2,0,2
215,0,1,1,1,3,0,1,1,1,0,0,0,0,3,1,1,1,0,1,1,0,0,1
216,2,1,0,1,1,4,1,1,2,2,1,1,2,3,1,1,1,2,0,2,2,0,1
218,0,0,0,1,0,3,0,0,2,0,1,0,0,1,0,1,1,0,1,1,0,0,1
222,2,0,0,0,2,4,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1
223,2,0,0,1,3,5,0,1,1,2,1,1,2,3,2,1,0,1,1,1,1,0,1
224,2,0,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,2,1,2,2,0,1
226,2,0,0,0,2,0,1,1,1,2,1,1,0,3,1,1,1,2,1,0,2,0,2
227,2,1,0,0,3,0,1,1,0,1,2,2,0,1,2,2,0,0,1,0,2,0,2
228,2,0,0,0,0,4,0,1,2,1,1,0,0,4,0,1,1,0,0,0,2,0,1
229,2,1,0,1,3,0,0,1,1,2,1,1,0,0,0,1,1,1,1,0,2,0,1
230,2,0,0,1,3,2,0,1,2,0,1,2,0,0,0,1,1,1,1,0,0,1,2
231,2,0,0,1,2,3,1,1,2,2,1,0,0,0,0,0,1,0,0,0,1,0,3
232,2,0,0,1,3,5,0,0,0,1,0,0,0,3,2,1,0,0,1,0,1,0,2
233,2,0,0,0,3,2,1,1,0,1,1,0,0,0,0,0,1,2,1,0,1,0,2
235,2,0,0,0,0,2,0,1,1,0,1,1,0,1,2,0,0,0,1,0,1,0,1
236,2,0,1,1,1,2,0,1,2,2,1,0,0,0,0,1,1,1,1,2,0,0,2
238,0,0,1,1,3,5,0,0,2,2,2,2,2,2,1,1,1,1,1,0,2,0,2
239,0,0,1,1,3,4,0,0,2,2,2,2,2,0,1,1,1,2,1,1,1,1,1
241,2,0,1,1,3,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,2
242,2,0,1,1,3,2,0,1,2,2,2,2,2,2,1,1,1,2,1,1,0,0,2
244,2,0,0,0,0,5,1,1,2,2,0,0,2,2,1,1,1,2,0,0,2,0,1
245,2,0,0,1,3,5,1,1,2,2,2,2,2,0,2,0,0,0,1,0,1,1,2
246,2,0,0,1,1,4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
248,2,0,1,1,3,0,1,1,1,0,1,1,0,0,0,1,2,2,1,2,0,0,2
249,0,0,1,1,2,3,1,0,2,2,2,0,2,0,0,1,1,0,0,2,0,0,1
250,2,0,1,1,3,2,1,0,0,0,1,0,2,2,0,1,1,1,1,2,2,0,1
252,2,0,1,1,2,1,1,1,2,2,2,0,2,4,1,1,1,2,1,0,2,0,2
254,2,0,0,0,3,4,0,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1
255,2,0,0,0,1,4,0,1,1,0,1,1,0,1,2,1,0,0,1,0,0,0,1
256,0,0,0,1,3,4,0,1,0,1,0,0,0,0,0,0,1,1,1,0,2,0,1
257,2,0,0,0,0,4,1,1,1,2,1,2,0,2,1,1,1,2,1,1,2,0,3
259,2,0,1,1,1,4,0,1,1,2,1,1,1,3,2,0,0,0,1,2,1,1,1
260,0,0,0,1,2,4,0,1,2,0,1,1,2,0,0,0,2,0,1,0,0,0,1
261,2,0,0,0,3,4,1,1,1,2,1,1,1,3,2,2,1,1,1,0,1,0,1
262,2,0,0,1,3,1,1,1,2,2,1,2,2,0,1,1,2,2,0,1,2,0,1
263,2,0,1,1,2,4,0,1,1,2,1,1,2,3,0,1,1,1,1,2,1,0,1
266,2,0,0,1,3,2,1,1,2,2,0,1,0,4,1,1,2,2,2,2,2,0,3
267,2,1,1,1,3,0,1,1,0,1,0,0,0,4,0,0,2,1,0,0,0,1,2
268,0,0,1,1,1,2,0,1,2,2,1,1,2,0,0,1,1,1,1,2,0,0,2
269,2,0,0,0,0,4,1,1,1,0,1,1,0,4,1,1,2,2,1,1,0,0,2
270,2,1,0,0,3,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1
271,0,0,1,1,0,1,0,0,2,0,0,0,2,0,1,1,1,2,0,0,2,0,1
273,2,0,0,0,3,2,0,1,1,2,1,1,0,2,0,0,2,1,1,1,0,0,2
274,2,0,0,1,2,2,1,1,2,0,1,1,0,0,2,1,0,0,1,0,1,0,2
277,2,0,0,0,3,4,0,1,1,2,1,1,0,2,0,0,0,1,1,1,0,0,1
278,2,0,0,1,2,1,0,0,2,2,2,0,0,4,0,1,1,1,1,1,2,0,1
279,2,0,1,0,3,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1
280,2,1,1,1,3,4,1,1,0,1,2,2,0,2,0,1,1,2,1,2,1,1,1
281,2,0,0,0,0,4,0,1,1,0,1,1,2,0,2,1,0,0,1,0,0,0,1
282,2,0,0,1,3,4,0,1,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0
283,2,0,1,1,3,2,0,1,2,2,1,1,2,1,2,1,0,1,1,0,0,0,2
285,2,0,1,1,3,4,0,1,1,0,1,1,2,2,0,0,2,2,2,2,2,0,1
286,0,0,1,1,2,5,0,1,2,1,0,0,0,0,0,1,1,1,1,1,0,0,1
287,2,0,0,0,0,2,0,1,0,1,0,0,0,4,1,1,1,1,1,0,2,0,0
288,0,0,0,1,3,0,0,1,1,2,1,1,0,0,1,0,1,0,1,1,0,1,2
289,0,0,1,1,2,5,1,1,2,2,2,0,0,2,0,1,1,0,1,1,0,0,1
290,2,1,0,0,0,0,0,1,1,0,1,1,1,2,1,1,2,2,1,1,2,0,1
291,2,0,0,0,0,5,0,1,0,0,1,0,0,0,2,0,1,1,1,1,0,0,2
292,2,0,1,1,3,5,0,1,2,2,0,0,2,0,0,1,1,1,1,0,0,0,3
293,2,0,0,0,0,5,0,1,2,0,1,0,0,0,0,1,1,1,1,1,0,0,2
294,2,0,0,1,0,5,0,1,2,1,0,0,0,0,1,0,2,1,1,0,0,0,4
296,0,0,1,1,3,2,0,1,2,2,2,0,0,4,1,1,2,2,1,2,2,0,1
298,2,0,1,1,3,5,0,1,2,0,2,2,0,0,2,1,0,0,1,0,0,0,2
299,2,0,0,0,0,5,0,1,2,2,2,2,0,0,1,1,1,2,0,0,0,0,2
300,0,0,0,1,3,5,0,1,2,2,2,2,0,0,1,1,1,1,1,1,2,0,1
301,0,0,0,1,3,5,0,1,2,1,0,0,2,2,1,1,2,2,1,1,2,0,2
302,2,0,0,0,2,1,0,1,2,1,1,0,0,0,1,1,1,2,1,0,0,0,1
303,0,0,1,1,1,1,1,0,2,2,2,2,2,2,2,1,1,2,1,1,2,0,1
304,0,0,0,1,2,5,0,1,2,2,0,2,0,2,1,1,1,2,1,1,2,0,2
305,2,0,1,1,1,4,0,1,2,0,1,0,0,0,0,1,1,1,0,0,2,0,1
306,1,0,1,1,2,2,0,1,2,1,1,1,0,2,0,1,1,2,1,1,0,0,1
309,2,0,0,0,3,1,0,1,2,1,2,2,0,0,0,1,1,2,1,0,0,0,1
310,2,0,0,1,1,4,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,1
311,2,0,0,1,2,1,0,1,2,1,0,2,0,0,1,1,1,2,1,1,0,0,2
312,2,1,0,1,0,0,0,1,1,2,1,1,0,2,0,1,1,2,1,1,2,0,2
313,2,0,1,1,3,5,0,1,2,1,1,0,0,0,2,1,0,0,1,1,1,0,1
317,2,0,0,0,0,5,0,0,2,2,2,2,2,4,1,1,1,2,0,0,2,0,1
318,0,0,1,1,1,5,0,1,2,2,2,2,2,2,0,1,0,1,1,1,2,1,1
320,2,0,1,1,2,1,1,1,2,2,0,2,2,2,1,1,1,2,0,0,2,0,3
321,2,0,0,1,3,5,0,1,2,0,1,0,0,0,2,1,1,1,1,0,1,0,1
322,2,0,0,0,0,3,0,1,2,1,0,2,2,2,1,1,1,2,0,0,2,0,2
323,0,0,1,1,3,5,0,1,2,2,1,2,2,0,0,1,1,0,1,0,0,0,1
324,2,0,0,1,2,4,0,1,2,0,0,1,0,0,0,1,0,0,1,1,0,0,1
326,0,0,0,0,0,5,0,1,2,2,2,2,2,2,0,0,0,1,1,1,0,0,1
327,2,0,1,1,3,5,0,1,0,1,0,2,0,0,1,1,2,2,1,1,2,0,1
328,2,1,0,0,0,0,1,1,1,2,1,1,0,0,0,1,1,1,1,0,0,0,1
329,2,1,1,1,2,0,0,0,1,0,1,1,0,1,2,2,0,0,0,1,2,1,2
331,2,0,1,1,3,5,0,1,2,2,1,0,0,0,2,0,1,0,1,1,1,0,1
333,2,1,0,1,1,0,0,1,1,0,1,1,0,3,1,1,0,0,1,1,0,0,3
335,2,0,0,0,0,2,0,1,2,1,2,0,0,4,1,1,1,1,0,0,0,0,3
336,2,0,0,1,3,2,0,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1
337,0,1,0,0,3,5,0,1,2,1,0,1,0,4,0,0,1,1,1,1,0,0,1
341,0,0,1,0,3,2,1,1,1,2,1,1,0,3,2,0,1,1,1,0,1,0,2
342,2,0,0,0,3,5,0,1,0,1,0,0,0,4,2,1,0,0,1,0,1,0,1
344,2,0,0,0,2,0,1,1,0,0,1,1,0,0,2,0,0,0,1,0,1,0,2
345,0,0,1,1,3,2,0,1,2,2,1,1,2,0,1,1,1,2,1,1,0,0,1
346,2,0,1,1,3,1,0,0,0,0,1,1,0,0,1,1,2,2,0,2,0,0,1
347,2,0,1,1,0,5,0,1,0,0,2,2,0,0,1,1,0,2,1,1,0,0,4
348,2,0,0,0,3,5,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
349,1,0,1,1,3,5,0,1,2,2,0,0,0,0,0,1,1,1,1,1,2,0,1
350,2,0,0,0,1,4,0,0,0,0,1,1,0,0,0,1,2,2,0,0,0,0,1
351,2,0,0,1,3,5,0,1,2,2,2,2,2,0,1,1,0,0,1,2,2,0,1
352,2,0,0,0,0,4,0,1,1,0,1,0,0,4,1,1,1,2,1,0,2,0,1
353,2,0,1,1,1,5,0,1,2,1,0,2,0,0,0,1,1,0,1,1,0,0,1
354,0,0,1,0,3,4,0,1,2,2,2,1,0,2,1,1,1,2,1,1,1,0,1
355,2,0,0,1,3,3,0,0,1,2,1,0,2,0,1,1,1,0,1,1,1,0,2
356,2,0,1,1,3,2,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,2
357,2,0,1,1,3,5,0,1,2,2,0,2,2,0,0,0,0,0,1,1,0,0,2
358,2,0,0,1,3,1,1,1,1,0,1,1,0,2,2,2,1,1,1,0,0,0,2
361,2,1,1,1,2,2,1,1,1,0,1,0,0,1,1,1,2,2,1,0,2,0,2
362,2,1,1,1,2,1,1,0,1,0,1,0,1,0,0,1,1,2,1,2,1,0,1
363,2,0,1,1,2,5,0,0,2,2,2,2,2,0,1,1,1,2,1,2,2,0,2
364,2,0,0,1,1,4,1,1,2,2,1,1,0,0,0,1,1,0,1,1,1,0,2
365,2,0,1,1,3,5,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1
367,2,0,1,1,1,1,0,1,1,2,1,1,2,4,1,1,1,1,1,1,0,0,2
368,2,0,1,1,2,1,0,1,2,0,1,0,2,0,1,1,2,2,0,0,0,0,1
